experiment,gate_index,step_name,classical_fidelity
VBE_N15_a4,173,CNOT(18->14),0.951640
VBE_N15_a4,174,CNOT(18->17),0.946495
VBE_N15_a4,175,TOF(17:14->18),0.947541
VBE_N15_a4,176,CNOT(21->19),0.943698
VBE_N15_a4,177,TOF(0:8->21),0.953906
VBE_N15_a4,178,TOF(0:9->21),0.946642
VBE_N15_a4,179,CNOT(21->19),0.948246
VBE_N15_a4,180,CNOT(19->15),0.941348
VBE_N15_a4,181,CNOT(19->18),0.945078
VBE_N15_a4,182,TOF(18:15->19),0.947747
VBE_N15_a4,183,CNOT(19->20),0.943642
VBE_N15_a4,184,TOF(18:15->19),0.945631
VBE_N15_a4,185,CNOT(19->18),0.948228
VBE_N15_a4,186,CNOT(18->15),0.945106
VBE_N15_a4,187,TOF(17:14->18),0.947414
VBE_N15_a4,188,CNOT(18->17),0.947283
VBE_N15_a4,189,CNOT(17->14),0.944853
VBE_N15_a4,190,TOF(16:13->17),0.944671
VBE_N15_a4,191,CNOT(17->16),0.949472
VBE_N15_a4,192,CNOT(16->13),0.948760
VBE_N15_a4,193,TOF(20:12->16),0.940628
VBE_N15_a4,194,CNOT(16->20),0.947363
VBE_N15_a4,195,CNOT(20->12),0.942766
VBE_N15_a4,196,CNOT(21->19),0.944437
VBE_N15_a4,197,TOF(0:9->21),0.944839
VBE_N15_a4,198,TOF(0:10->21),0.978702
VBE_N15_a4,199,CNOT(21->16),0.969462
VBE_N15_a4,200,CNOT(16->12),0.977491
VBE_N15_a4,201,CNOT(16->20),0.967833
VBE_N15_a4,202,TOF(20:12->16),0.961238
VBE_N15_a4,203,CNOT(21->17),0.984951
VBE_N15_a4,204,CNOT(17->13),0.976858
VBE_N15_a4,205,CNOT(17->16),0.988581
VBE_N15_a4,206,TOF(16:13->17),0.984017
VBE_N15_a4,207,CNOT(21->18),0.978771
VBE_N15_a4,208,CNOT(18->14),0.988601
VBE_N15_a4,209,CNOT(18->17),0.979673
VBE_N15_a4,210,TOF(17:14->18),0.974704
VBE_N15_a4,211,CNOT(21->19),0.986258
VBE_N15_a4,212,CNOT(19->15),0.982334
VBE_N15_a4,213,CNOT(19->18),0.988668
VBE_N15_a4,214,TOF(18:15->19),0.988080
VBE_N15_a4,215,CNOT(19->20),0.972727
VBE_N15_a4,216,TOF(18:15->19),0.976623
VBE_N15_a4,217,CNOT(19->18),0.987365
VBE_N15_a4,218,CNOT(18->15),0.975003
VBE_N15_a4,219,TOF(17:14->18),0.976371
VBE_N15_a4,220,CNOT(18->17),0.986425
VBE_N15_a4,221,CNOT(17->14),0.974045
VBE_N15_a4,222,TOF(16:13->17),0.976452
VBE_N15_a4,223,CNOT(17->16),0.984840
VBE_N15_a4,224,CNOT(16->13),0.976329
VBE_N15_a4,225,TOF(20:12->16),0.977257
VBE_N15_a4,226,CNOT(16->20),0.985389
VBE_N15_a4,227,CNOT(20->12),0.981021
VBE_N15_a4,228,CNOT(21->16),0.985951
VBE_N15_a4,229,CNOT(16->12),0.987545
VBE_N15_a4,230,CNOT(16->20),0.985909
VBE_N15_a4,231,TOF(20:12->16),0.980011
VBE_N15_a4,232,CNOT(21->17),0.985576
VBE_N15_a4,233,CNOT(21->18),0.974591
VBE_N15_a4,234,CNOT(21->19),0.981003
VBE_N15_a4,235,TOF(0:10->21),0.962281
VBE_N15_a4,236,TOF(0:11->21),0.963724
VBE_N15_a4,237,CNOT(21->17),0.964053
VBE_N15_a4,238,CNOT(17->13),0.966252
VBE_N15_a4,239,CNOT(17->16),0.962843
VBE_N15_a4,240,TOF(16:13->17),0.963388
VBE_N15_a4,241,CNOT(21->18),0.957593
VBE_N15_a4,242,CNOT(18->14),0.961335
VBE_N15_a4,243,CNOT(18->17),0.958459
VBE_N15_a4,244,TOF(17:14->18),0.963502
VBE_N15_a4,245,CNOT(21->19),0.959590
VBE_N15_a4,246,CNOT(19->15),0.956148
VBE_N15_a4,247,CNOT(19->18),0.961985
VBE_N15_a4,248,TOF(18:15->19),0.958620
VBE_N15_a4,249,CNOT(19->20),0.956727
VBE_N15_a4,250,TOF(18:15->19),0.962565
VBE_N15_a4,251,CNOT(19->18),0.958892
VBE_N15_a4,252,CNOT(18->15),0.957713
VBE_N15_a4,253,TOF(17:14->18),0.958838
VBE_N15_a4,254,CNOT(18->17),0.958237
VBE_N15_a4,255,CNOT(17->14),0.956108
VBE_N15_a4,256,TOF(16:13->17),0.958679
VBE_N15_a4,257,CNOT(17->16),0.956753
VBE_N15_a4,258,CNOT(16->13),0.976292
VBE_N15_a4,259,TOF(20:12->16),0.953423
VBE_N15_a4,260,CNOT(16->20),0.953743
VBE_N15_a4,261,CNOT(20->12),0.968338
VBE_N15_a4,262,CNOT(21->17),0.968298
VBE_N15_a4,263,CNOT(21->18),0.972693
VBE_N15_a4,264,CNOT(21->19),0.971131
VBE_N15_a4,265,TOF(0:11->21),0.966371
VBE_N15_a4,266,IQFT_H(7),0.969041
VBE_N15_a4,267,IQFT_CS_DAG(6->7),0.970261
VBE_N15_a4,268,IQFT_CS_DAG(5->7),0.967823
VBE_N15_a4,269,IQFT_CS_DAG(4->7),0.971439
VBE_N15_a4,270,IQFT_CS_DAG(3->7),0.967142
VBE_N15_a4,271,IQFT_CS_DAG(2->7),0.970640
VBE_N15_a4,272,IQFT_CS_DAG(1->7),0.972844
VBE_N15_a4,273,IQFT_CS_DAG(0->7),0.970362
VBE_N15_a4,274,IQFT_H(6),0.968164
